_BACKGROUND,5p,10p,15p
TCF4,TCF4,TCF4,TCF4
FOXO3,FOXO3,FOXO3,FOXO3
KCNH1,KCNH1,KCNH1,KCNH1
PLCL1,PLCL1,PLCL1,PLCL1
SATB1,SATB1,SATB1,SATB1
L3MBTL4,L3MBTL4,L3MBTL4,L3MBTL4
CDH8,CDH8,CDH8,CDH8
EML6,EML6,EML6,EML6
ZNF280D,ZNF280D,ZNF280D,ZNF280D
PIK3C3,PIK3C3,PIK3C3,PIK3C3
ST6GALNAC5,ST6GALNAC5,ST6GALNAC5,ST6GALNAC5
PAG1,PAG1,PAG1,PAG1
DIAPH2,DIAPH2,DIAPH2,DIAPH2
GTF2A1,GTF2A1,GTF2A1,GTF2A1
KCNQ3,KCNQ3,KCNQ3,KCNQ3
RAVER2,RAVER2,RAVER2,RAVER2
CCDC170,CCDC170,CCDC170,CCDC170
PTBP3,PTBP3,PTBP3,PTBP3
SATB2,SATB2,SATB2,SATB2
MYO1D,MYO1D,MYO1D,MYO1D
RAI14,RAI14,RAI14,RAI14
LINGO1,LINGO1,LINGO1,LINGO1
NR1D2,NR1D2,NR1D2,NR1D2
UBE2E1,UBE2E1,UBE2E1,UBE2E1
SPATS2,SPATS2,SPATS2,SPATS2
RAB7A,RAB7A,RAB7A,RAB7A
CBFA2T2,CBFA2T2,CBFA2T2,CBFA2T2
MIR99AHG,MIR99AHG,MIR99AHG,MIR99AHG
LRRC4C,LRRC4C,LRRC4C,LRRC4C
E2F3,E2F3,E2F3,E2F3
KCNC2,KCNC2,KCNC2,KCNC2
DCC,DCC,DCC,DCC
GRM1,GRM1,GRM1,GRM1
ZNF566,ZNF566,ZNF566,ZNF566
SPTSSB,SPTSSB,SPTSSB,SPTSSB
HNRNPC,HNRNPC,HNRNPC,HNRNPC
ANO3,ANO3,ANO3,ANO3
HTR4,HTR4,HTR4,HTR4
GALNT7,GALNT7,GALNT7,GALNT7
ZNF267,ZNF267,ZNF267,ZNF267
CCDC3,CCDC3,CCDC3,CCDC3
PRKAA2,PRKAA2,PRKAA2,PRKAA2
TLE1,TLE1,TLE1,TLE1
MFAP3L,MFAP3L,MFAP3L,MFAP3L
ZNF800,ZNF800,ZNF800,ZNF800
TPK1,TPK1,TPK1,TPK1
PTPRG,PTPRG,PTPRG,PTPRG
PKNOX2,PKNOX2,PKNOX2,PKNOX2
SNTG1,SNTG1,SNTG1,SNTG1
RFXAP,RFXAP,RFXAP,RFXAP
OTUD4,OTUD4,OTUD4,OTUD4
PCED1B,PCED1B,PCED1B,PCED1B
RORA,RORA,RORA,RORA
