_BACKGROUND,5p,10p,15p
NOS1AP,NOS1AP,NOS1AP,NOS1AP
CSGALNACT1,CSGALNACT1,CSGALNACT1,CSGALNACT1
CTNND2,CTNND2,CTNND2,CTNND2
PRRX1,PRRX1,PRRX1,PRRX1
RUFY3,RUFY3,RUFY3,RUFY3
KCNMA1,KCNMA1,KCNMA1,KCNMA1
PDS5A,PDS5A,PDS5A,PDS5A
NFAT5,NFAT5,NFAT5,NFAT5
PHF12,PHF12,PHF12,PHF12
SPATS2,SPATS2,SPATS2,SPATS2
SIN3A,SIN3A,SIN3A,SIN3A
FOXP1,FOXP1,FOXP1,FOXP1
HNRNPC,HNRNPC,HNRNPC,HNRNPC
ARHGEF28,ARHGEF28,ARHGEF28,ARHGEF28
ZNF410,ZNF410,ZNF410,ZNF410
PRKD1,PRKD1,PRKD1,PRKD1
GLRA2,GLRA2,GLRA2,GLRA2
ANXA11,ANXA11,ANXA11,ANXA11
ZNF589,ZNF589,ZNF589,ZNF589
ATF7,ATF7,ATF7,ATF7
ANO1,ANO1,ANO1,ANO1
RUNX1T1,RUNX1T1,RUNX1T1,RUNX1T1
FAM135B,FAM135B,FAM135B,FAM135B
POU2F1,POU2F1,POU2F1,POU2F1
CARF,CARF,CARF,CARF
ZNF287,ZNF287,ZNF287,ZNF287
MECP2,MECP2,MECP2,MECP2
MGA,MGA,MGA,MGA
GRM1,GRM1,GRM1,GRM1
SMARCC1,SMARCC1,SMARCC1,SMARCC1
ZFX,ZFX,ZFX,ZFX
FOXK1,FOXK1,FOXK1,FOXK1
C12orf50,C12orf50,C12orf50,C12orf50
SLC4A4,SLC4A4,SLC4A4,SLC4A4
ATXN1,ATXN1,ATXN1,ATXN1
ETV6,ETV6,ETV6,ETV6
SLC35F3,SLC35F3,SLC35F3,SLC35F3
ARID3B,ARID3B,ARID3B,ARID3B
HECW1,HECW1,HECW1,HECW1
E2F5,E2F5,E2F5,E2F5
PLA2G7,PLA2G7,PLA2G7,PLA2G7
ZNF772,ZNF772,ZNF772,ZNF772
PBX3,PBX3,PBX3,PBX3
ZNF222,ZNF222,ZNF222,ZNF222
ZNF33A,ZNF33A,ZNF33A,ZNF33A
PPM1H,PPM1H,PPM1H,PPM1H
ZSCAN32,ZSCAN32,ZSCAN32,ZSCAN32
ZEB1,ZEB1,ZEB1,ZEB1
DPP10,DPP10,DPP10,DPP10
VIPR2,VIPR2,VIPR2,VIPR2
POU3F2,POU3F2,POU3F2,POU3F2
SEMA3A,SEMA3A,SEMA3A,SEMA3A
DGKH,DGKH,DGKH,DGKH
COL11A1,COL11A1,COL11A1,COL11A1
TET2,TET2,TET2,TET2
CDKN2A,CDKN2A,CDKN2A,CDKN2A
DCLK1,DCLK1,DCLK1,DCLK1
DPP6,DPP6,DPP6,DPP6
SERTAD2,SERTAD2,SERTAD2,SERTAD2
ZNF584,ZNF584,ZNF584,ZNF584
NUTM2B-AS1,NUTM2B-AS1,NUTM2B-AS1,NUTM2B-AS1
CDYL2,CDYL2,CDYL2,CDYL2
AHCTF1,AHCTF1,AHCTF1,AHCTF1
RAB27A,RAB27A,RAB27A,RAB27A
NR2F1-AS1,NR2F1-AS1,NR2F1-AS1,NR2F1-AS1
MPPED2,MPPED2,MPPED2,MPPED2
GALNT17,GALNT17,GALNT17,GALNT17
DAPK1,DAPK1,DAPK1,DAPK1
LINC01006,LINC01006,LINC01006,LINC01006
BRCA1,BRCA1,BRCA1,BRCA1
GREM1,GREM1,GREM1,GREM1
QKI,QKI,QKI,QKI
SGCZ,SGCZ,SGCZ,SGCZ
LRRC8B,LRRC8B,LRRC8B,LRRC8B
ERC2,ERC2,ERC2,ERC2
PDGFC,PDGFC,PDGFC,PDGFC
NR3C2,NR3C2,NR3C2,NR3C2
NLGN1,NLGN1,NLGN1,NLGN1
CNOT4,CNOT4,CNOT4,CNOT4
SUPT3H,SUPT3H,SUPT3H,SUPT3H
TRPC4,TRPC4,TRPC4,TRPC4
NCK2,NCK2,NCK2,NCK2
LCORL,LCORL,LCORL,LCORL
FERMT2,FERMT2,FERMT2,FERMT2
RBPJ,RBPJ,RBPJ,RBPJ
MYO16,MYO16,MYO16,MYO16
ADCY2,ADCY2,ADCY2,ADCY2
KANSL1,KANSL1,KANSL1,KANSL1
ENOX1,ENOX1,ENOX1,ENOX1
LINC02217,LINC02217,LINC02217,LINC02217
ANKRD30B,ANKRD30B,ANKRD30B,ANKRD30B
ADARB1,ADARB1,ADARB1,ADARB1
ZNF827,ZNF827,ZNF827,ZNF827
ENAH,ENAH,ENAH,ENAH
ZNF891,ZNF891,ZNF891,ZNF891
ZNF148,ZNF148,ZNF148,ZNF148
RSPO3,,RSPO3,RSPO3
VWC2,,VWC2,VWC2
L3MBTL4,,L3MBTL4,L3MBTL4
PLS3,,PLS3,PLS3
