_BACKGROUND,5p,10p,15p
DMXL2,DMXL2,DMXL2,DMXL2
ADAMTS3,ADAMTS3,ADAMTS3,ADAMTS3
KIAA1958,KIAA1958,KIAA1958,KIAA1958
ECE2,ECE2,ECE2,ECE2
GAD1,GAD1,GAD1,GAD1
SPRED1,SPRED1,SPRED1,SPRED1
HDAC9,HDAC9,HDAC9,HDAC9
KCND2,KCND2,KCND2,KCND2
SLF1,SLF1,SLF1,SLF1
ZNF804B,ZNF804B,ZNF804B,ZNF804B
PTPRD,PTPRD,PTPRD,PTPRD
GPR158,GPR158,GPR158,GPR158
PTPRR,PTPRR,PTPRR,PTPRR
SP4,SP4,SP4,SP4
CCSER1,CCSER1,CCSER1,CCSER1
ERC2,ERC2,ERC2,ERC2
PLPPR5,PLPPR5,PLPPR5,PLPPR5
GDPD1,GDPD1,GDPD1,GDPD1
BMPER,BMPER,BMPER,BMPER
LINC01135,LINC01135,LINC01135,LINC01135
MBD5,MBD5,MBD5,MBD5
KIRREL1,KIRREL1,KIRREL1,KIRREL1
NLGN4X,NLGN4X,NLGN4X,NLGN4X
TOX3,TOX3,TOX3,TOX3
CDH8,CDH8,CDH8,CDH8
TRIM9,TRIM9,TRIM9,TRIM9
ZFPM2,ZFPM2,ZFPM2,ZFPM2
COL11A1,COL11A1,COL11A1,COL11A1
APC,APC,APC,APC
RYR2,RYR2,RYR2,RYR2
FAM49B,FAM49B,FAM49B,FAM49B
FSTL5,FSTL5,FSTL5,FSTL5
KAT6B,KAT6B,KAT6B,KAT6B
NALCN,NALCN,NALCN,NALCN
SEMA5B,SEMA5B,SEMA5B,SEMA5B
DTX4,DTX4,DTX4,DTX4
ADNP2,ADNP2,ADNP2,ADNP2
CACNA2D1,CACNA2D1,CACNA2D1,CACNA2D1
NOL4L,NOL4L,NOL4L,NOL4L
SLC16A7,SLC16A7,SLC16A7,SLC16A7
GPR176,GPR176,GPR176,GPR176
CHST9,CHST9,CHST9,CHST9
LZTS1-AS1,LZTS1-AS1,LZTS1-AS1,LZTS1-AS1
NRG1,NRG1,NRG1,NRG1
SH3D19,SH3D19,SH3D19,SH3D19
ME1,ME1,ME1,ME1
ZNF438,ZNF438,ZNF438,ZNF438
MLIP,MLIP,MLIP,MLIP
SERTAD2,SERTAD2,SERTAD2,SERTAD2
NPY1R,NPY1R,NPY1R,NPY1R
NRCAM,NRCAM,NRCAM,NRCAM
ST7,ST7,ST7,ST7
SNCAIP,SNCAIP,SNCAIP,SNCAIP
ABCA1,ABCA1,ABCA1,ABCA1
FMNL1,FMNL1,FMNL1,FMNL1
ZNF783,ZNF783,ZNF783,ZNF783
CELF2,CELF2,CELF2,CELF2
KAT2B,KAT2B,KAT2B,KAT2B
ARX,ARX,ARX,ARX
SGK3,SGK3,SGK3,SGK3
LRFN5,LRFN5,LRFN5,LRFN5
ARHGAP32,ARHGAP32,ARHGAP32,ARHGAP32
DPY19L2,DPY19L2,DPY19L2,DPY19L2
HP1BP3,HP1BP3,HP1BP3,HP1BP3
EFNA5,EFNA5,EFNA5,EFNA5
CDK19,CDK19,CDK19,CDK19
PCDHA10,PCDHA10,PCDHA10,PCDHA10
FAM155A,FAM155A,FAM155A,FAM155A
ADGRB3,ADGRB3,ADGRB3,ADGRB3
PACRG,PACRG,PACRG,PACRG
ZNRF2,ZNRF2,ZNRF2,ZNRF2
ANK3,ANK3,ANK3,ANK3
PEX5L,PEX5L,PEX5L,PEX5L
SPRED2,SPRED2,SPRED2,SPRED2
ZFX,ZFX,ZFX,ZFX
FAM110B,FAM110B,FAM110B,FAM110B
AHI1,AHI1,AHI1,AHI1
