_BACKGROUND,5p,10p,15p
SP4,SP4,SP4,SP4
RAB3A,RAB3A,RAB3A,RAB3A
FTL,FTL,FTL,FTL
MAP1LC3A,MAP1LC3A,MAP1LC3A,MAP1LC3A
EEF1G,EEF1G,EEF1G,EEF1G
TAF9,TAF9,TAF9,TAF9
RAN,RAN,RAN,RAN
NEFL,NEFL,NEFL,NEFL
HSP90AB1,HSP90AB1,HSP90AB1,HSP90AB1
UBB,UBB,UBB,UBB
CALM1,CALM1,CALM1,CALM1
MIF,MIF,MIF,MIF
SRP14,SRP14,SRP14,SRP14
DBP,DBP,DBP,DBP
B4GAT1,B4GAT1,B4GAT1,B4GAT1
CKB,CKB,CKB,CKB
BEX1,BEX1,BEX1,BEX1
ETS2,ETS2,ETS2,ETS2
EIF1,EIF1,EIF1,EIF1
TAF1A,TAF1A,TAF1A,TAF1A
H3F3B,H3F3B,H3F3B,H3F3B
H1FX,H1FX,H1FX,H1FX
MARCKS,MARCKS,MARCKS,MARCKS
PRNP,PRNP,PRNP,PRNP
HSP90AA1,HSP90AA1,HSP90AA1,HSP90AA1
STMN1,STMN1,STMN1,STMN1
LY6H,LY6H,LY6H,LY6H
CPLX2,CPLX2,CPLX2,CPLX2
CPLX1,CPLX1,CPLX1,CPLX1
SCGB1A1,SCGB1A1,SCGB1A1,SCGB1A1
THY1,THY1,THY1,THY1
MIR4435-2HG,MIR4435-2HG,MIR4435-2HG,MIR4435-2HG
TRPC3,TRPC3,TRPC3,TRPC3
LINC01411,LINC01411,LINC01411,LINC01411
GLUL,GLUL,GLUL,GLUL
TPI1,TPI1,TPI1,TPI1
OAZ1,OAZ1,OAZ1,OAZ1
TPM4,TPM4,TPM4,TPM4
NPPC,NPPC,NPPC,NPPC
THSD7A,THSD7A,THSD7A,THSD7A
NR2F6,NR2F6,NR2F6,NR2F6
RPS13,RPS13,RPS13,RPS13
TTC36,TTC36,TTC36,TTC36
POU3F2,POU3F2,POU3F2,POU3F2
MYO3A,MYO3A,MYO3A,MYO3A
THAP5,THAP5,THAP5,THAP5
HMG20B,HMG20B,HMG20B,HMG20B
ENO1,ENO1,ENO1,ENO1
SPATS2L,SPATS2L,SPATS2L,SPATS2L
ZNF219,ZNF219,ZNF219,ZNF219
ZNF592,ZNF592,ZNF592,ZNF592
STMN4,STMN4,STMN4,STMN4
RSPO3,RSPO3,RSPO3,RSPO3
