_BACKGROUND,5p,10p,15p
COL15A1,COL15A1,COL15A1,COL15A1
SMAD3,SMAD3,SMAD3,SMAD3
MRC1,MRC1,MRC1,MRC1
EPAS1,EPAS1,EPAS1,EPAS1
LAMA2,LAMA2,LAMA2,LAMA2
DUSP2,DUSP2,DUSP2,DUSP2
ESR2,ESR2,ESR2,ESR2
TFEC,TFEC,TFEC,TFEC
FLT1,FLT1,FLT1,FLT1
ZHX1,ZHX1,ZHX1,ZHX1
GPR174,GPR174,GPR174,GPR174
SMAD6,SMAD6,SMAD6,SMAD6
CX3CR1,CX3CR1,CX3CR1,CX3CR1
UIMC1,UIMC1,UIMC1,UIMC1
TMEM156,TMEM156,TMEM156,TMEM156
STXBP6,STXBP6,STXBP6,STXBP6
KCNMB4,KCNMB4,KCNMB4,KCNMB4
ZNF697,ZNF697,ZNF697,ZNF697
ZBTB20,ZBTB20,ZBTB20,ZBTB20
EDIL3,EDIL3,EDIL3,EDIL3
TGIF2,TGIF2,TGIF2,TGIF2
BRINP3,BRINP3,BRINP3,BRINP3
TET1,TET1,TET1,TET1
NLGN4Y,NLGN4Y,NLGN4Y,NLGN4Y
BVES,BVES,BVES,BVES
LRRN1,LRRN1,LRRN1,LRRN1
NFE2L2,NFE2L2,NFE2L2,NFE2L2
ZNF438,ZNF438,ZNF438,ZNF438
GRM3,GRM3,GRM3,GRM3
MOB3B,MOB3B,MOB3B,MOB3B
SMOC2,SMOC2,SMOC2,SMOC2
FIGN,FIGN,FIGN,FIGN
CDH8,CDH8,CDH8,CDH8
DENND2C,DENND2C,DENND2C,DENND2C
FAM162B,FAM162B,FAM162B,FAM162B
NRP1,NRP1,NRP1,NRP1
ZNF462,ZNF462,ZNF462,ZNF462
QKI,QKI,QKI,QKI
TEAD1,TEAD1,TEAD1,TEAD1
SH3RF1,SH3RF1,SH3RF1,SH3RF1
ARL6,ARL6,ARL6,ARL6
ESRRG,ESRRG,ESRRG,ESRRG
ZBTB25,ZBTB25,ZBTB25,ZBTB25
PRDM10,PRDM10,PRDM10,PRDM10
THOC2,THOC2,THOC2,THOC2
ACVR1C,ACVR1C,ACVR1C,ACVR1C
WIPF3,WIPF3,WIPF3,WIPF3
UGP2,UGP2,UGP2,UGP2
