_BACKGROUND,5p,10p,15p
GRM3,GRM3,GRM3,GRM3
EPS8,EPS8,EPS8,EPS8
MAPK4,MAPK4,MAPK4,MAPK4
ZNF804B,ZNF804B,ZNF804B,ZNF804B
ROBO2,ROBO2,ROBO2,ROBO2
RNF38,RNF38,RNF38,RNF38
PTCHD4,PTCHD4,PTCHD4,PTCHD4
LSAMP,LSAMP,LSAMP,LSAMP
SOX5,SOX5,SOX5,SOX5
PDZRN3,PDZRN3,PDZRN3,PDZRN3
RCAN1,RCAN1,RCAN1,RCAN1
TRPC3,TRPC3,TRPC3,TRPC3
MTUS2,MTUS2,MTUS2,MTUS2
IL1RAPL2,IL1RAPL2,IL1RAPL2,IL1RAPL2
GRIK2,GRIK2,GRIK2,GRIK2
B4GALT6,B4GALT6,B4GALT6,B4GALT6
CHSY3,CHSY3,CHSY3,CHSY3
SYNPO2,SYNPO2,SYNPO2,SYNPO2
GRM5,GRM5,GRM5,GRM5
BACH2,BACH2,BACH2,BACH2
BMPER,BMPER,BMPER,BMPER
ZBTB10,ZBTB10,ZBTB10,ZBTB10
CDK8,CDK8,CDK8,CDK8
COBLL1,COBLL1,COBLL1,COBLL1
NEDD4L,NEDD4L,NEDD4L,NEDD4L
ZNF600,ZNF600,ZNF600,ZNF600
PTCHD1-AS,PTCHD1-AS,PTCHD1-AS,PTCHD1-AS
ZNF84,ZNF84,ZNF84,ZNF84
NR6A1,NR6A1,NR6A1,NR6A1
TMEM150C,TMEM150C,TMEM150C,TMEM150C
GALNTL6,GALNTL6,GALNTL6,GALNTL6
EML6,EML6,EML6,EML6
GABRB1,GABRB1,GABRB1,GABRB1
SUSD4,SUSD4,SUSD4,SUSD4
DMD,DMD,DMD,DMD
STAU2,STAU2,STAU2,STAU2
MGA,MGA,MGA,MGA
PTPRD,PTPRD,PTPRD,PTPRD
ZHX1,ZHX1,ZHX1,ZHX1
RPS6KA5,RPS6KA5,RPS6KA5,RPS6KA5
