_BACKGROUND,5p,10p,15p
KCNH1,KCNH1,KCNH1,KCNH1
NR1D2,NR1D2,NR1D2,NR1D2
KCNQ3,KCNQ3,KCNQ3,KCNQ3
RFXAP,RFXAP,RFXAP,RFXAP
HNRNPC,HNRNPC,HNRNPC,HNRNPC
CBFA2T2,CBFA2T2,CBFA2T2,CBFA2T2
SNTB1,SNTB1,SNTB1,SNTB1
SATB2,SATB2,SATB2,SATB2
MIR99AHG,MIR99AHG,MIR99AHG,MIR99AHG
MAML3,MAML3,MAML3,MAML3
RGS12,RGS12,RGS12,RGS12
SATB1,SATB1,SATB1,SATB1
SYNPR,SYNPR,SYNPR,SYNPR
MYO10,MYO10,MYO10,MYO10
PDLIM5,PDLIM5,PDLIM5,PDLIM5
GNG7,GNG7,GNG7,GNG7
TCF4,TCF4,TCF4,TCF4
FOXO3,FOXO3,FOXO3,FOXO3
ANO3,ANO3,ANO3,ANO3
COL25A1,COL25A1,COL25A1,COL25A1
CACNA2D2,CACNA2D2,CACNA2D2,CACNA2D2
FMN1,FMN1,FMN1,FMN1
MCTP1,MCTP1,MCTP1,MCTP1
ELK3,ELK3,ELK3,ELK3
EML6,EML6,EML6,EML6
PIK3C3,PIK3C3,PIK3C3,PIK3C3
ZNF280D,ZNF280D,ZNF280D,ZNF280D
E2F3,E2F3,E2F3,E2F3
WIF1,WIF1,WIF1,WIF1
ST6GALNAC5,ST6GALNAC5,ST6GALNAC5,ST6GALNAC5
DIAPH2,DIAPH2,DIAPH2,DIAPH2
L3MBTL4,L3MBTL4,L3MBTL4,L3MBTL4
CDH8,CDH8,CDH8,CDH8
PLCL1,PLCL1,PLCL1,PLCL1
ANXA2,ANXA2,ANXA2,ANXA2
GTF2A1,GTF2A1,GTF2A1,GTF2A1
GMDS,GMDS,GMDS,GMDS
LINGO1,LINGO1,LINGO1,LINGO1
SPATS2,SPATS2,SPATS2,SPATS2
MYO1D,MYO1D,MYO1D,MYO1D
PAG1,PAG1,PAG1,PAG1
HUNK,HUNK,HUNK,HUNK
SEMA6D,SEMA6D,SEMA6D,SEMA6D
RAI14,RAI14,RAI14,RAI14
ADNP,ADNP,ADNP,ADNP
RAVER2,RAVER2,RAVER2,RAVER2
UBE2E1,UBE2E1,UBE2E1,UBE2E1
PTBP3,PTBP3,PTBP3,PTBP3
MSANTD3,MSANTD3,MSANTD3,MSANTD3
SATB1-AS1,SATB1-AS1,SATB1-AS1,SATB1-AS1
CCDC170,CCDC170,CCDC170,CCDC170
EXPH5,EXPH5,EXPH5,EXPH5
STK39,STK39,STK39,STK39
SNCAIP,SNCAIP,SNCAIP,SNCAIP
GALNT7,GALNT7,GALNT7,GALNT7
OTUD4,OTUD4,OTUD4,OTUD4
LINC00320,LINC00320,LINC00320,LINC00320
EXT1,EXT1,EXT1,EXT1
TMCC3,TMCC3,TMCC3,TMCC3
RAB7A,RAB7A,RAB7A,RAB7A
ZNF566,ZNF566,ZNF566,ZNF566
PCED1B,PCED1B,PCED1B,PCED1B
SNTG1,SNTG1,SNTG1,SNTG1
NCOA2,NCOA2,NCOA2,NCOA2
LRRC4C,LRRC4C,LRRC4C,LRRC4C
SLC26A4,SLC26A4,SLC26A4,SLC26A4
MFAP3L,MFAP3L,MFAP3L,MFAP3L
PRKAA2,PRKAA2,PRKAA2,PRKAA2
KLF7,KLF7,KLF7,KLF7
TLE1,TLE1,TLE1,TLE1
RORA,RORA,RORA,RORA
ZNF727,ZNF727,ZNF727,ZNF727
PTPRG,PTPRG,PTPRG,PTPRG
KLHL32,KLHL32,KLHL32,KLHL32
DPP6,DPP6,DPP6,DPP6
GRM1,GRM1,GRM1,GRM1
SYNPO2,SYNPO2,SYNPO2,SYNPO2
ZNF124,ZNF124,ZNF124,ZNF124
TLN2,TLN2,TLN2,TLN2
ZNF800,ZNF800,ZNF800,ZNF800
GCNT1,GCNT1,GCNT1,GCNT1
PNOC,PNOC,PNOC,PNOC
ARHGAP42,ARHGAP42,ARHGAP42,ARHGAP42
