_BACKGROUND,5p,10p,15p
ARAP2,ARAP2,ARAP2,ARAP2
PPP3CA,PPP3CA,PPP3CA,PPP3CA
APP,APP,APP,APP
EMX1,EMX1,EMX1,EMX1
PRKACB,PRKACB,PRKACB,PRKACB
KCNIP4,KCNIP4,KCNIP4,KCNIP4
SCMH1,SCMH1,SCMH1,SCMH1
COLGALT2,COLGALT2,COLGALT2,COLGALT2
LRRC1,LRRC1,LRRC1,LRRC1
CACNA2D1,CACNA2D1,CACNA2D1,CACNA2D1
GABRA2,GABRA2,GABRA2,GABRA2
PCDH17,PCDH17,PCDH17,PCDH17
CNTNAP2,CNTNAP2,CNTNAP2,CNTNAP2
JMJD1C,JMJD1C,JMJD1C,JMJD1C
LINGO2,LINGO2,LINGO2,LINGO2
PEX5L,PEX5L,PEX5L,PEX5L
DPY19L1,DPY19L1,DPY19L1,DPY19L1
TMEFF2,TMEFF2,TMEFF2,TMEFF2
POU2F1,POU2F1,POU2F1,POU2F1
MAGI2,MAGI2,MAGI2,MAGI2
ITGB8,ITGB8,ITGB8,ITGB8
GRIK2,GRIK2,GRIK2,GRIK2
TCF4,TCF4,TCF4,TCF4
CCSER1,CCSER1,CCSER1,CCSER1
SLC2A13,SLC2A13,SLC2A13,SLC2A13
FAT4,FAT4,FAT4,FAT4
SERPINI1,SERPINI1,SERPINI1,SERPINI1
KLHL8,KLHL8,KLHL8,KLHL8
DPF1,DPF1,DPF1,DPF1
CDH18,CDH18,CDH18,CDH18
PCED1B,PCED1B,PCED1B,PCED1B
ENOX1,ENOX1,ENOX1,ENOX1
PRR16,PRR16,PRR16,PRR16
SATB2,SATB2,SATB2,SATB2
GRM3,GRM3,GRM3,GRM3
VCAN,VCAN,VCAN,VCAN
RBBP5,RBBP5,RBBP5,RBBP5
RHOBTB1,RHOBTB1,RHOBTB1,RHOBTB1
ZNF697,ZNF697,ZNF697,ZNF697
KLF12,KLF12,KLF12,KLF12
PRKG1,PRKG1,PRKG1,PRKG1
SALL4,SALL4,SALL4,SALL4
DLEU2,DLEU2,DLEU2,DLEU2
TSC22D2,TSC22D2,TSC22D2,TSC22D2
GRIN2B,GRIN2B,GRIN2B,GRIN2B
ESYT2,ESYT2,ESYT2,ESYT2
ST6GAL2,ST6GAL2,ST6GAL2,ST6GAL2
CHL1,CHL1,CHL1,CHL1
YY1,YY1,YY1,YY1
AUTS2,AUTS2,AUTS2,AUTS2
NTNG1,NTNG1,NTNG1,NTNG1
NR6A1,NR6A1,NR6A1,NR6A1
GAS2,GAS2,GAS2,GAS2
ZNF438,ZNF438,ZNF438,ZNF438
ZNF462,ZNF462,ZNF462,ZNF462
ELOVL6,ELOVL6,ELOVL6,ELOVL6
PHF21A,PHF21A,PHF21A,PHF21A
KLF3,KLF3,KLF3,KLF3
ITPR1,ITPR1,ITPR1,ITPR1
SNTG1,SNTG1,SNTG1,SNTG1
ZNF704,ZNF704,ZNF704,ZNF704
NPTN,NPTN,NPTN,NPTN
